observation_date,HSN1F
2007-01-01,891
2007-02-01,828
2007-03-01,833
2007-04-01,887
2007-05-01,842
2007-06-01,793
2007-07-01,778
2007-08-01,699
2007-09-01,686
2007-10-01,727
2007-11-01,641
2007-12-01,619
2008-01-01,627
2008-02-01,593
2008-03-01,535
2008-04-01,536
2008-05-01,504
2008-06-01,487
2008-07-01,477
2008-08-01,435
2008-09-01,433
2008-10-01,393
2008-11-01,389
2008-12-01,377
2009-01-01,336
2009-02-01,372
2009-03-01,339
2009-04-01,337
2009-05-01,376
2009-06-01,393
2009-07-01,411
2009-08-01,418
2009-09-01,386
2009-10-01,396
2009-11-01,375
2009-12-01,352
2010-01-01,345
2010-02-01,336
2010-03-01,381
2010-04-01,422
2010-05-01,280
2010-06-01,305
2010-07-01,283
2010-08-01,282
2010-09-01,317
2010-10-01,291
2010-11-01,287
2010-12-01,326
2011-01-01,307
2011-02-01,270
2011-03-01,300
2011-04-01,310
2011-05-01,305
2011-06-01,301
2011-07-01,296
2011-08-01,299
2011-09-01,304
2011-10-01,316
2011-11-01,328
2011-12-01,341
2012-01-01,335
2012-02-01,366
2012-03-01,354
2012-04-01,354
2012-05-01,370
2012-06-01,360
2012-07-01,369
2012-08-01,375
2012-09-01,385
2012-10-01,358
2012-11-01,392
2012-12-01,399
2013-01-01,446
2013-02-01,447
2013-03-01,444
2013-04-01,441
2013-05-01,428
2013-06-01,470
2013-07-01,375
2013-08-01,381
2013-09-01,403
2013-10-01,444
2013-11-01,446
2013-12-01,433
2014-01-01,443
2014-02-01,420
2014-03-01,405
2014-04-01,403
2014-05-01,451
2014-06-01,418
2014-07-01,402
2014-08-01,456
2014-09-01,470
2014-10-01,476
2014-11-01,442
2014-12-01,497
2015-01-01,515
2015-02-01,540
2015-03-01,480
2015-04-01,502
2015-05-01,502
2015-06-01,480
2015-07-01,506
2015-08-01,518
2015-09-01,456
2015-10-01,482
2015-11-01,504
2015-12-01,546
2016-01-01,505
2016-02-01,517
2016-03-01,532
2016-04-01,576
2016-05-01,571
2016-06-01,557
2016-07-01,628
2016-08-01,575
2016-09-01,558
2016-10-01,575
2016-11-01,571
2016-12-01,561
2017-01-01,573
2017-02-01,587
2017-03-01,632
2017-04-01,598
2017-05-01,635
2017-06-01,619
2017-07-01,572
2017-08-01,556
2017-09-01,637
2017-10-01,626
2017-11-01,711
2017-12-01,630
2018-01-01,590
2018-02-01,618
2018-03-01,679
2018-04-01,642
2018-05-01,662
2018-06-01,636
2018-07-01,628
2018-08-01,593
2018-09-01,595
2018-10-01,554
2018-11-01,625
2018-12-01,546
2019-01-01,595
2019-02-01,648
2019-03-01,718
2019-04-01,702
2019-05-01,618
2019-06-01,729
2019-07-01,648
2019-08-01,712
2019-09-01,712
2019-10-01,722
2019-11-01,713
2019-12-01,700
2020-01-01,689
2020-02-01,707
2020-03-01,626
2020-04-01,576
2020-05-01,707
2020-06-01,901
2020-07-01,981
2020-08-01,1016
2020-09-01,979
2020-10-01,1031
2020-11-01,877
2020-12-01,874
2021-01-01,898
2021-02-01,778
2021-03-01,871
2021-04-01,828
2021-05-01,725
2021-06-01,695
2021-07-01,726
2021-08-01,686
2021-09-01,728
2021-10-01,684
2021-11-01,789
2021-12-01,825
2022-01-01,807
2022-02-01,788
2022-03-01,720
2022-04-01,624
2022-05-01,644
2022-06-01,549
2022-07-01,519
2022-08-01,638
2022-09-01,552
2022-10-01,579
2022-11-01,597
2022-12-01,621
2023-01-01,650
2023-02-01,636
2023-03-01,651
2023-04-01,665
2023-05-01,739
2023-06-01,674
2023-07-01,702
2023-08-01,645
2023-09-01,681
2023-10-01,681
2023-11-01,610
2023-12-01,643
2024-01-01,681
2024-02-01,658
2024-03-01,692
2024-04-01,719
2024-05-01,665
2024-06-01,671
2024-07-01,710
2024-08-01,693
2024-09-01,717
2024-10-01,621
2024-11-01,675
2024-12-01,718
2025-01-01,662
2025-02-01,642
2025-03-01,660
2025-04-01,706
2025-05-01,627
2025-06-01,662
2025-07-01,639
2025-08-01,706
2025-09-01,719
2025-10-01,650
2025-11-01,764
2025-12-01,712
